Format Version,1.24,Take Name,take_006,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 10.09.47.521 ,Capture Start Frame,40254,Total Frames in Take,15053,Total Exported Frames,15053,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,2.350000,0.105943,-0.062727,0.415249,4489.466309,731.819580,1989.944824,-0.063302,0.485337,0.172431,3796.324219,1262.843140,2211.446533
48,2.400000,0.108704,-0.060985,0.419042,4489.467285,731.830200,1989.945435,-0.062972,0.481531,0.172289,3796.311768,1262.840820,2211.429199
49,2.450000,0.108074,-0.064119,0.419813,4489.467773,731.826355,1989.947998,-0.067929,0.484786,0.173548,3796.318848,1262.844971,2211.454102
50,2.500000,0.108020,-0.063338,0.418972,4489.465332,731.826477,1989.943848,-0.066857,0.486297,0.175224,3796.321289,1262.835693,2211.456299
51,2.550000,0.109124,-0.064016,0.422985,4489.462402,731.824951,1989.943848,-0.067060,0.486836,0.179734,3796.332275,1262.822998,2211.456543
52,2.600000,0.109235,-0.067859,0.419035,4489.471191,731.831909,1989.946289,-0.063281,0.490529,0.178440,3796.335205,1262.822266,2211.460205
53,2.650000,0.113932,-0.061200,0.425013,4489.462402,731.839417,1989.950562,-0.062785,0.480626,0.173014,3796.313232,1262.837280,2211.421631
54,2.700000,0.116475,-0.064829,0.424129,4489.465332,731.853027,1989.952148,-0.066714,0.478209,0.173965,3796.321289,1262.844849,2211.439209
55,2.750000,0.115594,-0.061138,0.428073,4489.465820,731.865051,1989.953735,-0.063294,0.471587,0.165996,3796.299561,1262.871338,2211.413330
56,2.800000,0.111456,-0.062178,0.427200,4489.469238,731.855164,1989.950562,-0.060523,0.472998,0.166672,3796.297852,1262.861572,2211.406738
57,2.850000,0.112216,-0.064367,0.426200,4489.471680,731.847961,1989.950317,-0.061004,0.479519,0.169619,3796.314941,1262.851929,2211.429688
58,2.900000,0.111615,-0.062996,0.424583,4489.466797,731.842041,1989.951538,-0.064051,0.477206,0.169761,3796.305664,1262.856934,2211.428955
59,2.950000,0.108525,-0.064661,0.422599,4489.467773,731.833252,1989.954956,-0.063358,0.486219,0.174153,3796.326904,1262.839233,2211.460449
60,3.000000,0.114132,-0.063587,0.424429,4489.469238,731.847717,1989.955200,-0.062764,0.479020,0.166580,3796.303711,1262.865723,2211.424316
61,3.050000,0.111772,-0.062120,0.421783,4489.462891,731.841248,1989.939453,-0.056793,0.482930,0.171014,3796.312988,1262.835205,2211.423828
62,3.100000,0.108409,-0.061306,0.423557,4489.459961,731.834290,1989.948486,-0.059699,0.489647,0.175799,3796.340088,1262.821167,2211.454834
63,3.150000,0.110786,-0.066068,0.424411,4489.469727,731.835938,1989.950317,-0.060006,0.482137,0.167200,3796.309570,1262.851196,2211.430420
64,3.200000,0.110199,-0.064878,0.423094,4489.468262,731.835327,1989.951538,-0.063004,0.482880,0.172646,3796.319092,1262.839355,2211.437744
65,3.250000,0.109249,-0.063750,0.419668,4489.470703,731.831116,1989.947144,-0.061149,0.483563,0.176299,3796.327393,1262.822510,2211.436279
66,3.300000,0.113111,-0.064143,0.421225,4489.467773,731.838257,1989.954590,-0.065275,0.482833,0.173446,3796.323730,1262.841675,2211.449707
67,3.350000,0.111248,-0.064954,0.421621,4489.469238,731.837769,1989.955444,-0.062398,0.483217,0.168643,3796.310547,1262.844116,2211.440918
68,3.400000,0.111218,-0.065787,0.421138,4489.471680,731.838257,1989.951904,-0.059255,0.484571,0.173551,3796.324707,1262.827271,2211.437256
69,3.450000,0.109594,-0.062154,0.419827,4489.465332,731.831482,1989.948486,-0.058025,0.484995,0.174136,3796.326172,1262.820679,2211.428467
70,3.500000,0.110549,-0.061914,0.424300,4489.458984,731.833618,1989.946777,-0.061650,0.480729,0.173112,3796.306396,1262.828979,2211.421143
71,3.550000,0.110906,-0.062453,0.426365,4489.460449,731.837891,1989.953247,-0.064658,0.490341,0.178668,3796.341064,1262.817261,2211.463135
72,3.600000,0.116822,-0.062408,0.425740,4489.461914,731.848450,1989.945190,-0.060217,0.487149,0.177652,3796.341797,1262.818604,2211.448730
73,3.650000,0.109633,-0.060628,0.423387,4489.457520,731.836121,1989.940918,-0.061394,0.476768,0.171855,3796.302002,1262.838257,2211.406006
74,3.700000,0.115656,-0.063674,0.425258,4489.458008,731.844360,1989.945557,-0.066867,0.480559,0.174789,3796.312988,1262.843628,2211.434570
75,3.750000,0.108038,-0.066040,0.420389,4489.474121,731.829529,1989.950317,-0.063661,0.481347,0.169823,3796.312744,1262.853394,2211.433594
76,3.800000,0.116955,-0.063802,0.427665,4489.459961,731.856018,1989.944336,-0.061150,0.486529,0.177259,3796.334717,1262.824707,2211.448242
77,3.850000,0.107660,-0.064854,0.424528,4489.466797,731.833862,1989.948730,-0.060367,0.480292,0.169784,3796.301025,1262.847412,2211.424072
78,3.900000,0.114062,-0.064563,0.427743,4489.465820,731.842346,1989.953613,-0.056804,0.487450,0.174094,3796.328857,1262.822876,2211.438477
79,3.950000,0.109619,-0.066460,0.419572,4489.470215,731.835693,1989.952637,-0.061353,0.482734,0.171348,3796.315430,1262.838989,2211.445068
80,4.000000,0.111361,-0.059148,0.424192,4489.453125,731.841370,1989.945312,-0.062889,0.486174,0.174712,3796.332764,1262.834595,2211.448242
81,4.050000,0.117969,-0.062644,0.422725,4489.462891,731.854370,1989.942627,-0.062995,0.483732,0.171690,3796.320557,1262.845093,2211.442139
82,4.100000,0.112289,-0.062418,0.421431,4489.470703,731.844604,1989.957153,-0.065593,0.475200,0.173249,3796.309326,1262.849365,2211.423340
83,4.150000,0.110127,-0.064298,0.421358,4489.468750,731.840576,1989.952271,-0.064923,0.477519,0.171176,3796.303223,1262.853882,2211.425537
84,4.200000,0.110315,-0.064557,0.423240,4489.465332,731.833679,1989.948608,-0.059522,0.482029,0.169420,3796.312012,1262.846802,2211.432373
85,4.250000,0.107023,-0.063204,0.419906,4489.465332,731.825745,1989.950439,-0.067468,0.481006,0.175429,3796.323486,1262.841431,2211.440430
86,4.300000,0.107513,-0.063980,0.418084,4489.466309,731.828125,1989.953369,-0.064000,0.483070,0.176057,3796.319336,1262.830688,2211.434326
87,4.350000,0.104767,-0.063547,0.419223,4489.464844,731.824341,1989.951538,-0.061177,0.479214,0.172136,3796.310547,1262.834351,2211.423340
88,4.400000,0.112090,-0.060550,0.423668,4489.457031,731.841248,1989.943604,-0.064387,0.483820,0.177027,3796.332764,1262.826416,2211.449219
89,4.450000,0.108600,-0.064296,0.420122,4489.466797,731.829834,1989.947021,-0.060173,0.477251,0.172105,3796.303955,1262.833862,2211.414795
90,4.500000,0.110472,-0.064272,0.417388,4489.466797,731.828430,1989.953247,-0.060149,0.477317,0.169708,3796.302246,1262.844360,2211.410400
91,4.550000,0.110363,-0.065397,0.416721,4489.473633,731.833740,1989.947754,-0.065202,0.478660,0.170545,3796.303467,1262.846436,2211.427979
92,4.600000,0.107524,-0.063499,0.413932,4489.466797,731.824097,1989.949219,-0.064186,0.482798,0.171897,3796.316162,1262.844238,2211.435059
93,4.650000,0.113967,-0.066497,0.424427,4489.466797,731.843018,1989.951538,-0.065494,0.485271,0.174264,3796.323730,1262.845215,2211.455322
94,4.700000,0.114300,-0.064880,0.423867,4489.464355,731.839417,1989.948853,-0.061071,0.475506,0.170790,3796.292725,1262.843994,2211.403076
95,4.750000,0.107672,-0.063570,0.420480,4489.464844,731.828674,1989.947510,-0.060238,0.477775,0.173977,3796.307373,1262.829224,2211.413818
96,4.800000,0.107216,-0.063485,0.419075,4489.464355,731.829895,1989.946899,-0.066135,0.478981,0.175940,3796.312500,1262.840210,2211.430420
